"Componenet","Tool","Image","CVE","Severity","Package","Affected Version","Fix Version","Summary"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-69420","High","libssl3","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.21","A low vulnerability in deb package: libssl3, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-69420","High","openssl","3.0.2-0ubuntu1.19","3.0.2-0ubuntu1.21","A low vulnerability in deb package: openssl, version 3.0.2-0ubuntu1.19 was found in image envoyproxy/envoy:v1.35.2 at: /var/lib/dpkg/status"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-62409","High","envoy","1.35.2","1.33.10,1.34.9,1.35.5,1.36.1","A high vulnerability in binary package: envoy, version 1.35.2 was found in image envoyproxy/envoy:v1.35.2 at: /usr/local/bin/envoy"
"qubership-jaeger","grype","envoyproxy/envoy:v1.35.2","CVE-2025-66220","High","envoy","1.35.2","1.33.13,1.34.11,1.35.7,1.36.3","A high vulnerability in binary package: envoy, version 1.35.2 was found in image envoyproxy/envoy:v1.35.2 at: /usr/local/bin/envoy"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-61723","High","stdlib","go1.25.1","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-61725","High","stdlib","go1.25.1","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-61729","High","stdlib","go1.25.1","1.24.11,1.25.5","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-58187","High","stdlib","go1.25.1","1.24.9,1.25.3","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-jaeger","grype","jaegertracing/example-hotrod:1.74.0","CVE-2025-58188","High","stdlib","go1.25.1","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.25.1 was found in image jaegertracing/example-hotrod:1.74.0 at: /go/bin/hotrod-linux"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-32990","High","libgnutls30","3.7.9-2+deb12u4","3.7.9-2+deb12u5","A high vulnerability in deb package: libgnutls30, version 3.7.9-2+deb12u4 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libgnutls30"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-32988","High","libgnutls30","3.7.9-2+deb12u4","3.7.9-2+deb12u5","A high vulnerability in deb package: libgnutls30, version 3.7.9-2+deb12u4 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libgnutls30"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-8715","High","libpq5","15.12-0+deb12u2","15.14-0+deb12u1","A high vulnerability in deb package: libpq5, version 15.12-0+deb12u2 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libpq5"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-69420","High","libssl3","3.0.15-1~deb12u1","3.0.18-1~deb12u2","A high vulnerability in deb package: libssl3, version 3.0.15-1~deb12u1 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libssl3"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-9230","High","libssl3","3.0.15-1~deb12u1","3.0.17-1~deb12u3","A high vulnerability in deb package: libssl3, version 3.0.15-1~deb12u1 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libssl3"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-8714","High","libpq5","15.12-0+deb12u2","15.14-0+deb12u1","A high vulnerability in deb package: libpq5, version 15.12-0+deb12u2 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libpq5"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-24528","High","libgssapi-krb5-2","1.20.1-2+deb12u2","1.20.1-2+deb12u3","A high vulnerability in deb package: libgssapi-krb5-2, version 1.20.1-2+deb12u2 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libgssapi-krb5-2"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-24528","High","libk5crypto3","1.20.1-2+deb12u2","1.20.1-2+deb12u3","A high vulnerability in deb package: libk5crypto3, version 1.20.1-2+deb12u2 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libk5crypto3"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-24528","High","libkrb5-3","1.20.1-2+deb12u2","1.20.1-2+deb12u3","A high vulnerability in deb package: libkrb5-3, version 1.20.1-2+deb12u2 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libkrb5-3"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-24528","High","libkrb5support0","1.20.1-2+deb12u2","1.20.1-2+deb12u3","A high vulnerability in deb package: libkrb5support0, version 1.20.1-2+deb12u2 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libkrb5support0"
"qubership-logging-operator","grype","docker.io/fluent/fluent-bit:4.0.1","CVE-2025-4802","High","libc6","2.36-9+deb12u10","2.36-9+deb12u11","A high vulnerability in deb package: libc6, version 2.36-9+deb12u10 was found in image docker.io/fluent/fluent-bit:4.0.1 at: /var/lib/dpkg/status.d/libc6"
"qubership-monitoring-operator","grype","docker.io/bloomberg/goldpinger:3.10.2","GHSA-6v2p-p543-phr9","High","golang.org/x/oauth2","v0.19.0","0.27.0","A high vulnerability in go-module package: golang.org/x/oauth2, version v0.19.0 was found in image docker.io/bloomberg/goldpinger:3.10.2 at: /goldpinger"
"qubership-monitoring-operator","grype","docker.io/bloomberg/goldpinger:3.10.2","CVE-2025-22871","Critical","stdlib","go1.23.3","1.23.8,1.24.2","A critical vulnerability in go-module package: stdlib, version go1.23.3 was found in image docker.io/bloomberg/goldpinger:3.10.2 at: /goldpinger"
"qubership-monitoring-operator","grype","docker.io/bloomberg/goldpinger:3.10.2","CVE-2025-61723","High","stdlib","go1.23.3","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.23.3 was found in image docker.io/bloomberg/goldpinger:3.10.2 at: /goldpinger"
"qubership-monitoring-operator","grype","docker.io/bloomberg/goldpinger:3.10.2","CVE-2025-61725","High","stdlib","go1.23.3","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.23.3 was found in image docker.io/bloomberg/goldpinger:3.10.2 at: /goldpinger"
"qubership-monitoring-operator","grype","docker.io/bloomberg/goldpinger:3.10.2","CVE-2025-61729","High","stdlib","go1.23.3","1.24.11,1.25.5","A high vulnerability in go-module package: stdlib, version go1.23.3 was found in image docker.io/bloomberg/goldpinger:3.10.2 at: /goldpinger"
"qubership-monitoring-operator","grype","docker.io/bloomberg/goldpinger:3.10.2","CVE-2025-47907","High","stdlib","go1.23.3","1.23.12,1.24.6","A high vulnerability in go-module package: stdlib, version go1.23.3 was found in image docker.io/bloomberg/goldpinger:3.10.2 at: /goldpinger"
"qubership-monitoring-operator","grype","docker.io/bloomberg/goldpinger:3.10.2","CVE-2025-58187","High","stdlib","go1.23.3","1.24.9,1.25.3","A high vulnerability in go-module package: stdlib, version go1.23.3 was found in image docker.io/bloomberg/goldpinger:3.10.2 at: /goldpinger"
"qubership-monitoring-operator","grype","docker.io/bloomberg/goldpinger:3.10.2","CVE-2025-58188","High","stdlib","go1.23.3","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.23.3 was found in image docker.io/bloomberg/goldpinger:3.10.2 at: /goldpinger"
"qubership-monitoring-operator","grype","docker.io/bloomberg/goldpinger:3.10.2","CVE-2025-4674","High","stdlib","go1.23.3","1.23.11,1.24.5","A high vulnerability in go-module package: stdlib, version go1.23.3 was found in image docker.io/bloomberg/goldpinger:3.10.2 at: /goldpinger"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","GHSA-2c64-vmv2-hgfc","High","github.com/openfga/openfga","v1.8.13","1.11.1","A medium vulnerability in go-module package: github.com/openfga/openfga, version v1.8.13 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-61723","High","stdlib","go1.24.6","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana-server"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-61723","High","stdlib","go1.24.6","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana-cli"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-61723","High","stdlib","go1.24.6","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-9086","High","curl","8.14.1-r1","8.14.1-r2","A high vulnerability in apk package: curl, version 8.14.1-r1 was found in image docker.io/grafana/grafana:11.6.5 at: /lib/apk/db/installed"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-9086","High","libcurl","8.14.1-r1","8.14.1-r2","A high vulnerability in apk package: libcurl, version 8.14.1-r1 was found in image docker.io/grafana/grafana:11.6.5 at: /lib/apk/db/installed"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-61725","High","stdlib","go1.24.6","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana-cli"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-61725","High","stdlib","go1.24.6","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana-server"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-61725","High","stdlib","go1.24.6","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-69420","High","libcrypto3","3.5.1-r0","3.5.5-r0","A high vulnerability in apk package: libcrypto3, version 3.5.1-r0 was found in image docker.io/grafana/grafana:11.6.5 at: /lib/apk/db/installed"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-69420","High","libssl3","3.5.1-r0","3.5.5-r0","A high vulnerability in apk package: libssl3, version 3.5.1-r0 was found in image docker.io/grafana/grafana:11.6.5 at: /lib/apk/db/installed"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-9230","High","libcrypto3","3.5.1-r0","3.5.4-r0","A high vulnerability in apk package: libcrypto3, version 3.5.1-r0 was found in image docker.io/grafana/grafana:11.6.5 at: /lib/apk/db/installed"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-9230","High","libssl3","3.5.1-r0","3.5.4-r0","A high vulnerability in apk package: libssl3, version 3.5.1-r0 was found in image docker.io/grafana/grafana:11.6.5 at: /lib/apk/db/installed"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-61729","High","stdlib","go1.24.6","1.24.11,1.25.5","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-61729","High","stdlib","go1.24.6","1.24.11,1.25.5","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana-cli"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-61729","High","stdlib","go1.24.6","1.24.11,1.25.5","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana-server"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-58187","High","stdlib","go1.24.6","1.24.9,1.25.3","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana-cli"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-58187","High","stdlib","go1.24.6","1.24.9,1.25.3","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-58187","High","stdlib","go1.24.6","1.24.9,1.25.3","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana-server"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-58188","High","stdlib","go1.24.6","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana-server"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-58188","High","stdlib","go1.24.6","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana-cli"
"qubership-monitoring-operator","grype","docker.io/grafana/grafana:11.6.5","CVE-2025-58188","High","stdlib","go1.24.6","1.24.8,1.25.2","A high vulnerability in go-module package: stdlib, version go1.24.6 was found in image docker.io/grafana/grafana:11.6.5 at: /usr/share/grafana/bin/grafana"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","GHSA-cfxw-4h78-h7fw","High","dnsjava","2.1.7","3.6.0","A high vulnerability in java-archive package: dnsjava, version 2.1.7 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /app/app.jar"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","GHSA-fg2v-w576-w4v3","High","json-smart","1.3.2","1.3.3","A high vulnerability in java-archive package: json-smart, version 1.3.2 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /app/app.jar"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","GHSA-gvpg-vgmx-xg6w","High","nimbus-jose-jwt","9.8.1","9.37.2","A high vulnerability in java-archive package: nimbus-jose-jwt, version 9.8.1 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /app/app.jar"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2026-21945","High","openjdk","21.0.9+10-LTS","1.8.0_482,8.0.482,11.0.30,17.0.18,21.0.10,25.0.2","A high vulnerability in binary package: openjdk, version 21.0.9+10-LTS was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /opt/java/openjdk/release"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-66293","High","libpng16-16t64","1.6.43-5build1","1.6.43-5ubuntu0.3","A medium vulnerability in deb package: libpng16-16t64, version 1.6.43-5build1 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-64720","High","libpng16-16t64","1.6.43-5build1","1.6.43-5ubuntu0.1","A medium vulnerability in deb package: libpng16-16t64, version 1.6.43-5build1 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-13151","High","libtasn1-6","4.19.0-3ubuntu0.24.04.1","4.19.0-3ubuntu0.24.04.2","A medium vulnerability in deb package: libtasn1-6, version 4.19.0-3ubuntu0.24.04.1 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","GHSA-h46c-h94j-95f3","High","jackson-core","2.13.4","2.15.0","A high vulnerability in java-archive package: jackson-core, version 2.13.4 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /app/app.jar"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2026-21932","High","openjdk","21.0.9+10-LTS","1.8.0_482,8.0.482,11.0.30,17.0.18,21.0.10,25.0.2","A high vulnerability in binary package: openjdk, version 21.0.9+10-LTS was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /opt/java/openjdk/release"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-65018","High","libpng16-16t64","1.6.43-5build1","1.6.43-5ubuntu0.1","A medium vulnerability in deb package: libpng16-16t64, version 1.6.43-5build1 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-68973","High","dirmngr","2.4.4-2ubuntu17.3","2.4.4-2ubuntu17.4","A high vulnerability in deb package: dirmngr, version 2.4.4-2ubuntu17.3 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-68973","High","gnupg","2.4.4-2ubuntu17.3","2.4.4-2ubuntu17.4","A high vulnerability in deb package: gnupg, version 2.4.4-2ubuntu17.3 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-68973","High","gnupg-utils","2.4.4-2ubuntu17.3","2.4.4-2ubuntu17.4","A high vulnerability in deb package: gnupg-utils, version 2.4.4-2ubuntu17.3 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-68973","High","gpg","2.4.4-2ubuntu17.3","2.4.4-2ubuntu17.4","A high vulnerability in deb package: gpg, version 2.4.4-2ubuntu17.3 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-68973","High","gpg-agent","2.4.4-2ubuntu17.3","2.4.4-2ubuntu17.4","A high vulnerability in deb package: gpg-agent, version 2.4.4-2ubuntu17.3 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-68973","High","gpgconf","2.4.4-2ubuntu17.3","2.4.4-2ubuntu17.4","A high vulnerability in deb package: gpgconf, version 2.4.4-2ubuntu17.3 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-68973","High","gpgsm","2.4.4-2ubuntu17.3","2.4.4-2ubuntu17.4","A high vulnerability in deb package: gpgsm, version 2.4.4-2ubuntu17.3 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-68973","High","gpgv","2.4.4-2ubuntu17.3","2.4.4-2ubuntu17.4","A high vulnerability in deb package: gpgv, version 2.4.4-2ubuntu17.3 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-68973","High","keyboxd","2.4.4-2ubuntu17.3","2.4.4-2ubuntu17.4","A high vulnerability in deb package: keyboxd, version 2.4.4-2ubuntu17.3 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","GHSA-493p-pfq6-5258","High","json-smart","1.3.2","2.4.9","A high vulnerability in java-archive package: json-smart, version 1.3.2 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /app/app.jar"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2026-22695","High","libpng16-16t64","1.6.43-5build1","1.6.43-5ubuntu0.3","A medium vulnerability in deb package: libpng16-16t64, version 1.6.43-5build1 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-69420","High","libssl3t64","3.0.13-0ubuntu3.6","3.0.13-0ubuntu3.7","A low vulnerability in deb package: libssl3t64, version 3.0.13-0ubuntu3.6 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2025-69420","High","openssl","3.0.13-0ubuntu3.6","3.0.13-0ubuntu3.7","A low vulnerability in deb package: openssl, version 3.0.13-0ubuntu3.6 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
"qubership-jaeger","grype","ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest","CVE-2026-22801","High","libpng16-16t64","1.6.43-5build1","1.6.43-5ubuntu0.3","A medium vulnerability in deb package: libpng16-16t64, version 1.6.43-5build1 was found in image ghcr.io/jaegertracing/spark-dependencies/spark-dependencies:latest at: /var/lib/dpkg/status"
